Index,Rank,Lifter,Username,Userid,Text_colour,Unknown0,Unknown1,Fed,Date,Country,State,unknown3,Sex,Equip,Age,Entry,Class,Weight,Squat,Bench,Deadlift,Total,Dots
61,62,Daniel Bell #1,danielbell1,dbell_74,null,USA,null,WRPF,2021-02-20,USA,FL,wrpf-usa/2103,M,Wraps,34,Open,180,140+,500,272.5,410,1182.5,606.47
62,63,Luke Tolman,luketolman,luke_tolman_powerlifting,null,England,null,BPU,2024-04-27,England,null,bpu/2414,M,Wraps,25,M_OCR_BPU,107.5,110,377.5,267.5,370,1015,606.46
63,64,Sharon Eggleton,sharoneggleton,princess_of_iron,null,England,null,WRPF-UK,2024-05-04,England,null,wrpf-uk/2402,F,Wraps,44,Open,67.1,67.5,215,130,240,585,606.03
64,65,Haley Hill,haleyhill,lil_swole2,null,USA,USA-MO,USPA,2021-10-23,USA,IL,uspa/2264,F,Wraps,24,Open,59.8,60,207.5,125,212.5,545,605.43
65,66,Shane Haller,shanehaller,shanehaller,null,USA,USA-FL,WRPF,2024-04-06,USA,FL,wrpf-usa/2443,M,Wraps,31,Pro MW-O,139,140,430,255,417.5,1102.5,605.41
66,67,Jen Smith #1,jensmith1,powerliftersdiary,null,Australia,null,AusPL,2020-03-23,Australia,QLD,auspl/2001,F,Wraps,26,Open,59.9,60,207.5,127.5,210,545,604.79
67,68,Zac Meyers,zacmeyers,thehulkmeyers,null,USA,USA-MD,WRPF,2023-06-17,USA,MD,wrpf-usa/2365,M,Raw,29,Open,129.1,140,405,285,387.5,1077.5,604.61
68,69,Jaclyn Cornwell,jaclyncornwell,jaclynrcornwell,null,USA,USA-OH,APF,2021-04-10,USA,OH,apf/2111,F,Wraps,33,F_OCR_APF,67.4,67.5,258.5,113.4,213.1,585.1,604.60
69,70,Larry Williams #1,larrywilliams1,larrywheels,null,USA,null,XPC,2020-03-07,USA,OH,xpc/2001,M,Raw,25,Pro,128.6,140,394.6,292.5,387.8,1075,603.87
70,71,Petr Petr\xc3\xa1\xc5\xa1,petrpetras,petras.petr1160,null,Czechia,null,GPC-GUPU,2020-12-05,Ukraine,null,gpc-gupu/2001,M,Wraps,36,M-O,170,140+,470,290,400,1160,603.66
71,72,Carola Garra,carolagarra,carolagarra,null,Italy,null,IPF,2024-02-10,UK,null,ipf/2401,F,Raw,29~,Open,67.1,,220,150,212.5,582.5,603.08
72,73,Danny Grigsby,dannygrigsby,dan_grigs,null,USA,USA-OR,WRPF,2023-03-25,USA,null,wrpf-usa/2313,M,Raw,29,Open,109.8,110,352.5,197.5,467.5,1017.5,603.05
73,74,Hanna Luukkonen,hannaluukkonen,hannaamanda_,null,Finland,null,FPO,2023-05-13,Finland,null,fpo/2302,F,Wraps,22,J20-23,72.6,75,237.5,130.5,240,608,602.59
74,75,Jason Legrand,jasonlegrand,jaselegrand,neongreen,USA,null,365Strong,2018-04-20,USA,NC,365strong/1802,M,Wraps,24,Open,107.9,110,412.5,220,377.5,1010,602.50
75,76,Rondel Hunte,rondelhunte,deadlift_lord868,null,null,null,USAPL,2023-09-14,USA,TN,usapl/NS-2023-03-K,M,Raw,26~,MR-G,119.5,125,385,262.5,397.5,1045,600.92
76,77,Kevin Oak,kevinoak,oakstrong,null,USA,null,WRPF,2016-08-19,USA,CA,wrpf-usa/bob3,M,Wraps,30,Pro MW-O,99.8,100,390,227.5,358,975.5,600.75
77,78,Fernando Arias,fernandoarias,null,null,USA,USA-PA,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,M,Wraps,27,Open,132,140,412.5,237.5,427.5,1077.5,600.59
78,79,Phillip Herndon,phillipherndon,phillip_herndon,null,USA,null,IPA,2023-06-25,USA,PA,ipa/2312,M,Wraps,28,Pro Open,119.4,125,453.5,226.8,362.8,1043.2,600.10
79,80,Mariya Panferova,mariyapanferova,pinochka77,null,Russia,null,IPL,2017-04-20,Russia,MOW,rpu/1701,F,Wraps,39,Open,71.6,75,250,135,220,600,599.19
80,81,Ben Pollack,benpollack,phdeadlift,null,USA,USA-TX,SPF,2017-11-11,USA,CA,spf/1752,M,Wraps,30,Open,89.7,90,362.5,192.5,370,925,599.05
81,82,Kalle R\xc3\xa4s\xc3\xa4nen,kallerasanen,kalle_rs,finland,Finland,null,IPA,2019-05-25,Finland,null,fpo/1903,M,Wraps,28,Open,89.9,90,390.5,192.5,342.5,925.5,598.76
82,83,Craig Malkowicz,craigmalkowicz,gotmalk_,null,USA,USA-NJ,USPA,2022-02-19,USA,NJ,uspa/2405,M,Wraps,27,Open,92.8,100,345,200,395,940,598.70
83,84,Egor Musienko,egormusienko,egor_musienko_,null,Russia,null,WPA-RUS,2019-12-21,Russia,KHA,wpa-rus/1901,M,Wraps,26,Open,109.1,110,390,227.5,390,1007.5,598.57
84,85,Jade Jacob,jadejacob,jade.jacobb,null,France,null,IPF,2024-02-10,UK,null,ipf/2401,F,Raw,22~,Open,56.5,,188,100,231.5,519.5,598.15
85,86,Cailer Woolam,cailerwoolam,doctor.deadlift,null,USA,USA-TX,SPF,2019-11-09,USA,CA,spf/1946,M,Raw,24,Open,97.8,110,307.5,222.5,432.5,962.5,598.02
86,87,Ceejay Byam,ceejaybyam,ifbbceejaygarner,null,Canada,null,WRPF,2024-04-06,USA,FL,wrpf-usa/2443,F,Raw,39,Submasters 35-39,74.1,75,230,150,230,610,597.73
87,88,Jesse Norris,jessenorris,jessenorr,null,USA,null,SPF,2015-11-07,USA,CA,spf-archive/0406,M,Raw,22,Light,89.7,90,347.5,200,375,922.5,597.43
88,89,Jeremy Avilla,jeremyavilla,jeremyavilla,null,USA,null,WRPF,2018-08-24,USA,CA,wrpf-usa/bob5,M,Wraps,30,Pro MW-O,98.8,100,365,197.5,402.5,965,597.11
89,90,Tracy Johnson #9,tracyjohnson9,null,null,null,null,SPF,2022-12-03,USA,NC,spf/2229,M,Wraps,,Masters 45-49,48,48,190.5,145.1,240.4,576,597.04
90,91,Nicolaas du Preez,nicolaasdupreez,nicolaas_du_preez,null,South Africa,null,Ireland-UA,2024-04-20,Ireland,null,ireland-ua/2402,M,Wraps,29~,Clash Of Titans,129.5,,427.5,245,392.5,1065,597.03
91,92,Amanda Lawrence #1,amandalawrence1,miss.amanda.ann,null,USA,null,IPF,2024-02-10,UK,null,ipf/2401,F,Raw,26,Open,83.5,,249.5,135,262.5,647,597.00
92,93,Meghan Scanlon,meghanscanlon,megscanlift,null,USA,null,IPF,2024-06-15,Lithuania,null,ipf/2404,F,Raw,36,Open,62.6,63,202.5,140,210,552.5,596.54
93,94,Andrey Belyaev #1,andreybelyaev1,null,null,Russia,null,BB,2010-12-18,Russia,MOW,bb/1001,M,Wraps,27,Pro,95.7,110,345,250,355,950,596.34
94,95,Nick Ramey,nickramey,nick_ramey,null,USA,USA-AR,SPF,2020-06-27,USA,AR,spf/2013,M,Wraps,28,Open,99.7,100,409.1,204.5,354.2,967.9,596.34
95,96,Ranson Lee,ransonlee,ransonlee,royalblue,USA,USA-NC,SPF,2019-11-09,USA,CA,spf/1946,M,Wraps,28,Open,99.7,110,385,235,347.5,967.5,596.29
96,97,Natalie Richards #1,natalierichards1,nat_lifting,null,USA,null,IPF,2024-02-10,UK,null,ipf/2401,F,Raw,25~,Open,56.3,,186.5,110,220,516.5,596.16
97,98,Dan Green,dangreen,dangreenpowerlifter,green,USA,null,ProRaw,2013-11-16,Australia,VIC,proraw/005,M,Wraps,30,M-OR,109,110,385,237.5,380,1002.5,595.81
98,99,Landri Peden,landripeden,landri_liftsalot,null,USA,USA-OH,WRPF,2024-04-06,USA,FL,wrpf-usa/2443,F,Wraps,38,Pro FW-O,74.6,75,237.5,120,252.5,610,595.81
99,100,Andrew Herbert,andrewherbert,herbietheluvbug,purple,USA,USA-CA,SPF,2019-11-09,USA,CA,spf/1946,M,Wraps,37,Open,109,110,427.5,215,360,1002.5,595.72
